,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
65,['XGBoost'],[1000],[0.1],[2],[0],['0.9508883880551474']
66,['XGBoost'],[1000],[0.1],[3],[0],['0.9716113574052165']
67,['XGBoost'],[1000],[0.1],[4],[0],['0.9775018370904845']
68,['XGBoost'],[1000],[0.1],[5],[0],['0.9790014186892361']
69,['XGBoost'],[1000],[0.1],[6],[0],['0.9801720031430478']
70,['XGBoost'],[100],[0.3],[2],[0],['0.9154857805952649']
71,['XGBoost'],[100],[0.3],[3],[0],['0.9543017535818438']
72,['XGBoost'],[100],[0.3],[4],[0],['0.9694500111604704']
73,['XGBoost'],[100],[0.3],[5],[0],['0.9754857728708519']
74,['XGBoost'],[100],[0.3],[6],[0],['0.9785437241007496']
75,['XGBoost'],[200],[0.3],[2],[0],['0.9400550029523668']
76,['XGBoost'],[200],[0.3],[3],[0],['0.9670356783902256']
77,['XGBoost'],[200],[0.3],[4],[0],['0.975628394885601']
78,['XGBoost'],[200],[0.3],[5],[0],['0.9783554882471892']
79,['XGBoost'],[200],[0.3],[6],[0],['0.9800084138156416']
80,['XGBoost'],[500],[0.3],[2],[0],['0.9579851963073471']
81,['XGBoost'],[500],[0.3],[3],[0],['0.9737156647882717']
82,['XGBoost'],[500],[0.3],[4],[0],['0.9781953419714601']
83,['XGBoost'],[500],[0.3],[5],[0],['0.9794781704582329']
84,['XGBoost'],[500],[0.3],[6],[0],['0.9801559582682866']
85,['XGBoost'],[1000],[0.3],[2],[0],['0.9643583706280177']
86,['XGBoost'],[1000],[0.3],[3],[0],['0.9758067206628125']
87,['XGBoost'],[1000],[0.3],[4],[0],['0.9784552729434708']
88,['XGBoost'],[1000],[0.3],[5],[0],['0.9793353700436598']
89,['XGBoost'],[1000],[0.3],[6],[0],['0.9800909374194932']
