,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
47,['XGBoost'],[1000],[0.01],[4],[0],['0.9885121653911269']
48,['XGBoost'],[1000],[0.01],[5],[0],['0.9893068699427252']
49,['XGBoost'],[1000],[0.01],[6],[0],['0.9893691232719343']
50,['XGBoost'],[100],[0.1],[2],[0],['0.977962930984549']
51,['XGBoost'],[100],[0.1],[3],[0],['0.9856868937776995']
52,['XGBoost'],[100],[0.1],[4],[0],['0.9884839412123911']
53,['XGBoost'],[100],[0.1],[5],[0],['0.9891604943354286']
54,['XGBoost'],[100],[0.1],[6],[0],['0.9897259556680252']
55,['XGBoost'],[200],[0.1],[2],[0],['0.983362858624987']
56,['XGBoost'],[200],[0.1],[3],[0],['0.9888030208187345']
57,['XGBoost'],[200],[0.1],[4],[0],['0.9900098444697976']
58,['XGBoost'],[200],[0.1],[5],[0],['0.9901036468546444']
59,['XGBoost'],[200],[0.1],[6],[0],['0.9901994853366836']
60,['XGBoost'],[500],[0.1],[2],[0],['0.9876802642815651']
61,['XGBoost'],[500],[0.1],[3],[0],['0.990156219023454']
62,['XGBoost'],[500],[0.1],[4],[0],['0.9902719874497482']
63,['XGBoost'],[500],[0.1],[5],[0],['0.990151920220835']
64,['XGBoost'],[500],[0.1],[6],[0],['0.9903309845326529']
65,['XGBoost'],[1000],[0.1],[2],[0],['0.9889815104430311']
66,['XGBoost'],[1000],[0.1],[3],[0],['0.9903024843483937']
67,['XGBoost'],[1000],[0.1],[4],[0],['0.990299129950715']
68,['XGBoost'],[1000],[0.1],[5],[0],['0.9900627554484933']
69,['XGBoost'],[1000],[0.1],[6],[0],['0.9901227831066353']
70,['XGBoost'],[100],[0.3],[2],[0],['0.9857633964504886']
71,['XGBoost'],[100],[0.3],[3],[0],['0.9896403665572746']
72,['XGBoost'],[100],[0.3],[4],[0],['0.9906907881544']
73,['XGBoost'],[100],[0.3],[5],[0],['0.99041294173676']
74,['XGBoost'],[100],[0.3],[6],[0],['0.9899551812782024']
75,['XGBoost'],[200],[0.3],[2],[0],['0.9881026953258745']
76,['XGBoost'],[200],[0.3],[3],[0],['0.9900685799601284']
77,['XGBoost'],[200],[0.3],[4],[0],['0.9905145492427859']
78,['XGBoost'],[200],[0.3],[5],[0],['0.9902322544934898']
79,['XGBoost'],[200],[0.3],[6],[0],['0.9899180619083001']
80,['XGBoost'],[500],[0.3],[2],[0],['0.9894928184073969']
81,['XGBoost'],[500],[0.3],[3],[0],['0.9899766933245726']
82,['XGBoost'],[500],[0.3],[4],[0],['0.9904539294663802']
83,['XGBoost'],[500],[0.3],[5],[0],['0.9899488518925222']
84,['XGBoost'],[500],[0.3],[6],[0],['0.9898520947840372']
85,['XGBoost'],[1000],[0.3],[2],[0],['0.9895817731861613']
86,['XGBoost'],[1000],[0.3],[3],[0],['0.9899422945173164']
87,['XGBoost'],[1000],[0.3],[4],[0],['0.9903405059780429']
88,['XGBoost'],[1000],[0.3],[5],[0],['0.9898961708378335']
89,['XGBoost'],[1000],[0.3],[6],[0],['0.9899363476417535']
